accession_title,accession_number_1,accession_number_2,accession_number_3,accession_number_4,accession_accession_date,accession_access_restrictions,accession_access_restrictions_note,accession_acquisition_type,accession_condition_description,accession_content_description,accession_disposition,accession_general_note,accession_inventory,accession_provenance,accession_publish,accession_resource_type,accession_language,accession_script,accession_restrictions_apply,accession_retention_rule,accession_use_restrictions,accession_use_restrictions_note,accession_cataloged_note,accession_processing_hours_total,accession_processing_plan,accession_processing_priority,accession_processing_status,accession_processing_total_extent,accession_processing_total_extent_type,accession_processors,accession_rights_determined,lang_material_language,lang_material_script,date_1_label,date_1_expression,date_1_begin,date_1_end,date_1_type,date_2_label,date_2_expression,date_2_begin,date_2_end,date_2_type,extent_type,extent_container_summary,extent_number,accession_acknowledgement_sent,accession_acknowledgement_sent_date,accession_agreement_received,accession_agreement_received_date,accession_agreement_sent,accession_agreement_sent_date,accession_cataloged,accession_cataloged_date,accession_processed,accession_processed_date,user_defined_boolean_1,user_defined_boolean_2,user_defined_boolean_3,user_defined_integer_1,user_defined_integer_2,user_defined_integer_3,user_defined_real_1,user_defined_real_2,user_defined_real_3,user_defined_string_1,user_defined_string_2,user_defined_string_3,user_defined_string_4,user_defined_text_1,user_defined_text_2,user_defined_text_3,user_defined_text_4,user_defined_text_5,user_defined_date_1,user_defined_date_2,user_defined_date_3,user_defined_enum_1,user_defined_enum_2,user_defined_enum_3,user_defined_enum_4,agent_role,agent_relator,agent_type,agent_contact_address_1,agent_contact_address_2,agent_contact_address_3,agent_contact_city,agent_contact_country,agent_contact_email,agent_contact_fax,agent_contact_name,agent_contact_post_code,agent_contact_region,agent_contact_salutation,agent_contact_telephone,agent_contact_telephone_ext,agent_name_authority_id,agent_name_dates,agent_name_fuller_form,agent_name_name_order,agent_name_number,agent_name_prefix,agent_name_title,agent_name_primary_name,agent_name_qualifier,agent_name_rest_of_name,agent_name_rules,agent_name_sort_name,agent_name_source,agent_name_subordinate_name_1,agent_name_subordinate_name_2,agent_name_suffix,agent_name_description_note,agent_name_description_citation,subject_source,subject_term,subject_term_type
"Bagdad Church of Christ Membership Roll, 1844-1939",MF. 1342,,,,,,,Loan,,,,,,"Loaned by Randy East, Lafayette, Tennessee.",,collection,eng,Latn,0,,,,,,,,,,,,,eng,Latn,Targeted,,1992-04-01,,single,Created,,1844,1939,inclusive,microfilm reel(s),35 mm,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"First Methodist Episcopal Church (McMinn County, Tenn.) Records, 1870-1960",MF. 1341,,,,,,,Loan,,,,,,"Loaned by the trustees of Trinity United Methodist Church, through the agency of Mrs. Mary T. Long, Athens, Tennessee.",,records,eng,Latn,0,,,,,,,,,,,,,eng,Latn,Targeted,,1992-03-31,,single,Created,,1870,1960,inclusive,microfilm reel(s),35 mm,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hobday, Robert, Family Papers",MF. 1339,,,,,,,Purchase,,,,,,"Purchased from Bob Law, Nashville, Tennessee.",,papers,eng,Latn,0,,,,,,,,,,,,,eng,Latn,,,,,,,,,,,microfilm reel(s),35 mm,3,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hardwick, Johnston, Corn, and Jarnigan Family Scrapbooks, 1875-1968",MF. 1337,,,,,,,Loan,,,,,,"Loaned by Joe Corn Stuart, Cleveland, Tennessee, through the agency of Charles A. Sherill, Cleveland Public Library, Cleveland, Tennessee.",,collection,eng,Latn,0,,,,,,,,,,,,,eng,Latn,Targeted,,1992-03-13,,single,Created,,1875,1968,inclusive,microfilm reel(s),35 mm,3,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lewis, Mattie, Diaries, 1937-1946",MF. 1335,,,,,,,Loan,,,,,,"Loaned by Nelda Saunders and Mildred Wallace, Dover, Tennessee, through the agency of TSLA.; Acquired from THS.",,collection,eng,Latn,0,,,,,,,,,,,,,eng,Latn,Targeted,,1992-02-26,,single,Created,,1937,1946,inclusive,microfilm reel(s),35 mm,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macon County (Tenn.) Mercantile Report, 1914-1919",MF. 1333,,,,,,,Loan,,,,,,"Loaned by Randy East, Lafayette, Tennessee.",,collection,eng,Latn,0,,,,,,,,,,,,,eng,Latn,Targeted,,1992-02-24,,single,Created,,1914,1919,inclusive,microfilm reel(s),35 mm,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Knight, Georgia Wren Bishop, Scrapbooks, 1926-1980",MF. 1332,,,,,,,Loan,,,,,,"Loaned by Michele Fagan of Special Collection Department, Memphis State University.",,collection,eng,Latn,0,,,,,,,,,,,,,eng,Latn,Targeted,,1992-02-24,,single,Created,,1926,1980,inclusive,microfilm reel(s),35 mm,6,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memphis Belle Scrapbook, 1942-1965",MF. 1331,,,,,,,Loan,,,,,,"Loaned by Michele Fagan of Special Collection Department, Memphis State University.",,collection,eng,Latn,0,,,,,,,,,,,,,eng,Latn,Targeted,,1992-02-20,,single,Created,,1942,1965,inclusive,microfilm reel(s),35 mm,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bright, Mildred K., Scrapbook, 1939-1945",MF. 1329,,,,,,,Loan,,,,,,"Loaned to Susan Gordon, TSLA, by Mildred K. Bright, Nashville, Tennessee.; Acquired from THS.",,collection,eng,Latn,0,,,,,,,,,,,,,eng,Latn,Targeted,,1992-02-04,,single,Created,,1939,1945,inclusive,microfilm reel(s),35 mm,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"White, Ester and Jack, Scrapbook, 1937-1947",MF. 1328,,,,,,,Loan,,,,,,"Loaned by Susan Gordon, TSLA, on behalf of Mrs. Eleanor Morrissey.",,collection,eng,Latn,0,,,,,,,,,,,,,eng,Latn,Targeted,,1992-02-03,,single,Created,,1937,1947,inclusive,microfilm reel(s),35 mm,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"White, Ruth Bland, World War II Scrapbooks, 1939-1945",MF. 1327,,,,,,,Loan,,,,,,"Loaned by Ruth Bland White, Greenbrier, Tennessee, through the agency of Susan Gordon, TSLA.; Acquired from THS.",,collection,eng,Latn,0,,,,,,,,,,,,,eng,Latn,Targeted,,1992-02-03,,single,Created,,1939,1945,inclusive,microfilm reel(s),35 mm,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"First Presbyterian Church (Wayne County, Tenn.) Records, 1854-1907",MF. 1321,,,,,,,Loan,,,,,,"Loaned by Billy G. Beckham, Clerk of Session, Clifton, Tennessee, through the agency of Edgar Byler, Wayne CountyHistorical Society.",,records,eng,Latn,0,,,,,,,,,,,,,eng,Latn,Targeted,,1991-10-03,,single,Created,,1854,1907,inclusive,microfilm reel(s),35 mm,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waynesboro Cumberland Presbyterian Church Session Minutes, 1866-1951",MF. 1320,,,,,,,Loan,,,,,,"Loaned by Charles  E. Gallaoway, Church Treasurer, Waynesboro, Tennessee, through the agency of Edgar Byler, Wayne County Historical Society.",,collection,eng,Latn,0,,,,,,,,,,,,,eng,Latn,Targeted,,1991-10-03,,single,Created,,1866,1951,inclusive,microfilm reel(s),35 mm,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macon County (Tenn.) Account Book, 1890",MF. 1319,,,,,,,Loan,,,,,,"Loaned by Randy Eastman, Lafayette, Tennessee.",,collection,eng,Latn,0,,,,,,,,,,,,,eng,Latn,Targeted,,1991-10-02,,single,Created,,1890,,single,microfilm reel(s),35 mm,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farmers and Merchant's Bank (Macon County, Tenn.) Check Register, 1924-1926",MF. 1318,,,,,,,Loan,,,,,,"Loaned by Randy Eastman, Lafayette, Tennessee.",,collection,eng,Latn,0,,,,,,,,,,,,,eng,Latn,Targeted,,1991-10-02,,single,Created,,1924,1926,inclusive,microfilm reel(s),35 mm,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fort Loudoun Association Records, Addition, 1757-1987",MF. 1350,,,,,,,Loan,,,,,,Loaned by Fort Loudon Association.,,records,eng,Latn,0,,,,,,,,,,,,,eng,Latn,,,,,,Created,,1757,1987,inclusive,microfilm reel(s),35 mm,7,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eldridge, Drs. Aristotle and Edwin, Papers, 1856-1881",MF. 1361,,,,,,,Loan,,Negatives,,,,"Loaned by William Bartee, San Antonio, Texas.",,papers,eng,Latn,0,,,,,,,,,,,Processed by ELLISON.,,eng,Latn,,,,,,Created,,1856,1881,inclusive,microfilm reel(s),35 mm,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Philippi Baptist Church (Cleveland, Tenn.) Records, 1841-1992",MF. 1366,,,,,,,Loan,,,,,,"Loaned by Dr. William Snell, Professor of History at Lee College, Cleveland, Tennessee.",,records,eng,Latn,0,,,,,,,,,,,,,eng,Latn,,,,,,Created,,1841,1992,inclusive,microfilm reel(s),35 mm,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Records of Antebellum Southern Plantations from the Revolution through the Civil War, Series J, Part",MF. 1370,,,,,,,,,,,,,No donor information. Catalog record only.,,records,eng,Latn,0,,,,,,,,,,,,,eng,Latn,,,,,,,,,,,microfilm reel(s),35 mm,21,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Throp and Oakley Funeral Home (Trousdale County, Tenn.) Records, 1944-1965",MF. 1371,,,,,,,Loan,,,,,,"Loaned by Mrs. Herstine Oakley Broom Brown, Hartsville, Tennessee, through the agency of Mr. Walter L. Buckingham, Lebanon, Tennessee.",,records,eng,Latn,0,,,,,,,,,,,,,eng,Latn,,,,,,Created,,1944,1965,inclusive,microfilm reel(s),35 mm,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Meadows Family Genealogical Records, 1612-19--",MF. 1372,,,,,,,,,,,,,No donor information. Catalog record only.,,records,eng,Latn,0,,,,,,,,,,,,,eng,Latn,,,,,,Created,,1612,,single,microfilm reel(s),16 mm,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Knox, Jack, Scrapbooks, 1932-1936, 1964-1966",MF. 0676,,,,,,,Loan,,,,,,"Loaned by Mrs. Jack Knox, Nashville, Tennessee.",,collection,eng,Latn,0,,,,,,,,,,,,,eng,Latn,Targeted,,1981-03-18,,single,,,,,,microfilm reel(s),35 mm,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riverside Methodist Church (Wayne County, Tenn.) Records, 1881-1977",MF. 0677,,,,,,,Loan,,,,,,"Loaned by Mrs. Ermadine Riley, Clifton, Tennessee.",,records,eng,Latn,0,,,,,,,,,,,,,eng,Latn,Targeted,,1981-03-12,,single,Created,,1881,1977,inclusive,microfilm reel(s),35 mm,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McMurtry Family Papers, 1762-1981",MF. 0679,,,,,,,Loan,,,,,,"Loaned by Otis D. McMurtry, Mt. Juliet, Tennessee.",,papers,eng,Latn,0,,,,,,,,,,,,,eng,Latn,Targeted,,1981-05-18,,single,Created,,1762,1981,inclusive,microfilm reel(s),16 mm,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bethel Cumberland Presbyterian Church (Tipton County, Tenn.) Records, 1932-1978",MF. 0680,,,,,,,Loan,,,,,,"Loaned by Bethel Cumberland Presbyterian Church, Atoka, Tennessee.",,records,eng,Latn,0,,,,,,,,,,,,,eng,Latn,Targeted,,1981-05-18,,single,Created,,1932,1978,inclusive,microfilm reel(s),16 mm,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
